,text,polarity
811,جميل جدا داخلها العاب اطفال وكافيه,Negative
812,جميل الموقع,Positive
813,مكان رائع جدا وفيه خيارات حلوة من الكوفيهات والمطاعم وفيه صيدلية ومحل نظارات ومحلين ملابس تقريبا يستحق الزيارة,Positive
814,اذيه,Positive
815,متحف جيد ولكن ينقصه بعض من التعديلات,Positive
816,جيدةجدا بس الحين تحت الصيانة,Positive
817,المبلغ غالي جدا,Positive
818,يهمل,Positive
819,مكان رائع وجميل للعائلات,Neutral
820,متحف حقيقة رائع يضاهي المتاحف العالمية لم آر مثله بالمملكة يعاب عليه موظفيه والأمن غير جيدين في التعامل والاهتمام والزي الذي يلبسونه غير مناسب للمتحف لابد من زيارته للسعودي وزائر المملكة,Neutral
821,تجربه جميلة و ممتعه,Positive
822,متحف جميل جدا ذا طراز عثماني  مكون من طابقين يحتوي على رسوم ومنشورات ومجسمات عن سيرة الرسول وأصحابه ومغازيهم وإرثهم بالإضافة لقسم عن المدينة وتاريخها وآثارهاوتراث سكانها وعلاوة عليه تفصيل عن تاريخ محطة القطار ونشأتها وفي الخارج مبنى يحتوي,Neutral
823,اطلالة بانوراميه مكان رائع وهادئ ورومانسي,Positive
824,توقعت اكبر من كذا ما اخذ ولا خمس دقايق بس اعجبني قربه من باقي الاماكن,Positive
825,الحديقة ممتازة وكبيرة والمكان مرتب ونظيف,Positive
826,جميلة  واجواء روعه,Positive
827,فوق الوصف,Positive
828,اول شيء ترى السكه والحديقة الخلفية مغلقة للمشروع الجديد   يعني بس المتحف مفتوح,Neutral
829,نوعا ما,Positive
830,يقدم صورة عن تاريخ المدينة,Positive
831,مكان واسع وعالي الجودة ثقافيا وهندسيا ذو برامج مختلفة ومفيدة لكافة أفراد الأسرة  مكتبته جديرة بالزيارة واامكوث للمطالعة,Positive
832,المكان جميل شتاء ولكن ليس بالمستوى المتوقع,Positive
833,مكان جميل ولطيف بس صغير على قيمة التذكرة الموظفين تعاملهم راقي ومتواجدين حولك شكر خاص للأخ محمد على تعامله الأكثر من رائع وخصوصاً مع الأطفال,Negative
834,المطقة جميلة صغيرة اغلب المحلات اسعارها مرتفع ويوجد فيه ستار بكس اكبر فرع,Positive
835,جميل جدا و مرتب,Positive
836,رائعه والاطفال استمتعوا فيها جداً,Positive
837,جزا الله من قام علی هذا العمل رائع جدا جدا,Neutral
838,معلم سياحي جميل يقع بين بساتين الواحه المشهورة كواحه قديمه ومدينه حديثة يسعد كل من يزور المعلم به من القصص مايعجب البعض ويبهر البعض الاخر يرويها اهل المنطقة وبعضها لم تسلط عليه اضواء الإعلام,Negative
839,المكان والموقع جدآ جميل,Neutral
840,اشياء قديمه وراعيه  حتى المطاعم كذلك,Positive
841,موقع سياحي جميل ولكن عيبه سعر تذاكر الدخول عاليه  ريال الشخص,Neutral
842,جميل وبارد,Positive
843,مهرجان تراثي يعرض لك التراث الاصيل,Positive
844,مكان جميل للعائلات  بس لا تنسى بساط و دلة شاهي و قهوة,Positive
845,الأسف المكان مليىء بالعيوب يعني متحف وفيه اثار قديمة وفي مدينة سياحية ويبعد عن الحرم مسافة بسيطة بالسيارة ويعامل كذا النظافة سيئة جدا حول المتحف لا يوجد مواقف المكان حول المتحف مقفل على اساس يتحول حديقة والله العالم متى اخر مره اشتغلو فيه,Negative
846,يستحق الزيارة 👍🏼👍🏼👍🏼🤩,Positive
847,الهمج,Positive
848,مكان جميل ومفيد جدا يحتاج الكبار والصغار,Positive
849,ممتاز  فيه متحف في الدور الثانيانصح بزيارته  إذا اعجبك حط لي لايك,Neutral
850,بوجه عام المكان جيد لكن أسعار تذاكر الدخول غالية,Positive
851,الدخول خمسين ريال جدا مرتفع السعر المنطقه جميله حول الجبل يوجد كافيهات,Neutral
852,مكان رائع فية الكثير من التأمل و التفكير و التساؤل يستحق الزيارة,Positive
853,خطره,Positive
854,الكورنيش الجنوبي وشاطئ النخيل والقريه التراثيه اجمل شواطئ جيزان وافضل من الكورنيش الشمالي بكثير يعيبه البعد عن الخدمات بعكس الشمالي  غ,Negative
855,ممتازه لكن تحتاج الى تطوير بالنظافه,Positive
856,حلوه بس السعر مبالغ فيه,Positive
857,جميل جداً فيه فعاليات ومهرجانات مناسبه للأطفال ومحلات واستراحات وكل ما يحبه الشخص  بس في نهاية الأسبوع  weekend  يكون زحمة مره,Neutral
858,ممتاز جدا وتستفيد من تاريخ هذي المحافظه,Positive
859,فس اشياء حلوة و غريبة و حلوة و أشياء عادية و ما تستاهل,Positive
860,ممتاز ويحتاج لزيارات كل مده متحف ثقافي,Neutral
861,جميل لكن تحتاج للتطوير اكثر,Neutral
862,رسوم الدخول مرتفعة ويستاهل الزيارة,Positive
863,جمليه تستحق الزياره نوعاً ماء,Positive
864,متحف جميل ومنسق بصورة إبداعية وفيه الكثير من الفروع وملحق به مساعدة واسعة عبارة عن محطة سكة قطار الحجاز القديمة,Positive
865,متحف رائع و اشكرهم على الاهتمام به,Positive
866,الغرف الصغيره المفروض تكون استراحه وكراسي وتكون مكيفه لاان توقيت يفرض ذلك والكراسي داخليه ماتكون حديد وبالحر  ولازم يكثرون كشكات وتكون متقاربه اللي بيروح يروح بالشتاء ماينفع بالصيف بتاتا وجهة نظر,Neutral
867,أولى خطوات مشروع المتحف بدأت في العام ه م وافتتحت رسميا على يد الأمير عبد المجيد بن عبد العزيز يركز المتحف على تاريخ سكة الحجاز التي بنيت في عهد عبد الحميد الثاني وقد تم جمع,Neutral
868,مكان جميل جدا وفيه تتعرف على أماكن  واحداث حصلت علي ايام زمن الملك عبدالعزيز آل سعود رحمه الله ويفتح جميع الايام الفتره الصباحيه من ٩ الي ١٢ ومن الساعه ٦ إلى ٩ مساء ماعدا الجمعه والسبت فتره مسائيه اتمني من الجميع ان يزور المكان بما فيه من امكان ومناطق سياحيه,Positive
869,موقع هادي خيالي رومنسي,Positive
870,منطقة جبلية جميلة جدًا جدًا وتتميز بجوها البارد على مدار السنة والضباب المنتشر على طول الجبال,Positive
871,للآسف فيه ألعاب جميله وجديدة ولكن الدخول فقط دون التذاكر  وفيه لعبتين مغلقه يعني لعبتين فقط للكبار العربة السريعة والسباقات سعر التذكرة,Negative
872,تجربه جميله ولكن مبالغ بسعر الشخص الواحد ب ريال,Neutral
873,منظمة و حلوه مره تستاهل الزيارة,Positive
874,تجربه جميلة,Positive
875,مغلق  للتصليحات 😩,Positive
876,حبيتهه,Positive
877,جميع خدمة الدوله لا تعمل يسات استخدام السلطه من عامل النحو,Positive
878,المتحف جميل جداً شبه يومياً امر عليه وماقدرت اروح له لانه عايلتي تحب التأخير ومايروحون الا المغرب 💔 مافي فايده اروح على آخر اوقات المعرض,Negative
879,جدا جميل تجربه ممتعه للأطفال,Positive
880,تجتاج تطوير لكن مناظر خرافية,Positive
881,جيتهم الساعه ٩ الصباح و انصدمت بالتطور الي صار للحديقه  نظافه واهتمام والحيوانات متواجده الا ماندر  ومافي روائح مثل قبل بالعكس العاملين شغالين تنظيف واهتمام الله يعطيهم العافيه,Negative
882,قرية صغيرة تحتوي علا تراث المنطقة بأكملها,Positive
883,جيد جداً وتنظيم ولا اروع 👍🏻👍🏻,Positive
884,بحيرة ينبع الصناعية اكثر مايميزها موقعها ونظافتها باختصار جميله جدا,Positive
885,رائع يعيدك عشرات السنوات للماصي,Positive
886,الدخول ب١٠٠ ريال سلامات  و لي عنده عائلة من ٦ افراد علشان نافورة راقصة و كشكات,Neutral
887,متحف رائع يشير الي تاريخ عريق وان بلاد الحجاز عرفت السكة الحديد في وقت مبكر تربطها بالقطار الاسلامية,Positive
888,جميل جداً ولكن صغير وهادئ ويوجد به اكبر ستاربكس في الشرق الاوسط,Positive
889,لاتلبي,Positive
890,ملاهي حلوة,Positive
891,معلم سياحي جدا ممتاز ويحتاج عنابه افضل وزيادة المقاهي العالمية اسواء شي تعامل رجل الامن غير متبسم مع العلم المكان معلم سياحي ويحتاج رجال أمن ذو خبرة للتعامل مع السياح,Positive
892,ماشاءالله تبارك الله الأجواء حلوه لكن الزحمه مره,Positive
893,جميلة لكن صغيرة,Positive
894,جمال من الآخر,Positive
895,أموال,Positive
896,للفئه المخمليه لنا الله,Positive
897,جميلة وذات طابع هادئ,Positive
898,مركز تسوق وملاهي اطفال ينصح بزيارته,Positive
899,مكان على مستوى عالي من النظافة وممتاز كذلك,Positive
900,يستحق الزيارة,Positive
901,مكان جميل فيه اشياء تراثيه ومطعم لكن ماجربته الجو حار فالداخل واغلب المكيفات لاتعمل لكن انصح بزيارته,Neutral
902,رأائع مطل لعشاق المغامره ومحبي المرتفعات,Positive
903,توجد رسوم دخول ٢٠ ريال لكل شخص قبل الدخول بشكل عام هذا غير طلبات المطعم ان كنت تريد المتحف ومن ثما المطعم الافضل انك تدخل قبل و٣ت العشاء او الغداء بي ساعتين اما من اجل المطعم فلا انصحك,Neutral
904,اتمنى زيارته مره اخرى رائع,Positive
905,جيدة لكن قديمة نوعا ما وعدم وجود اهتمام ب المكان والجلسات الى هناك  ايضا لمن اراد الهدوء وعدم وجود اشخاص كثيرين  فيها عدد جدا قليل لكن يحتاج لها اهتمام ونظافة من جميع النواحي,Negative
906,مكان جميل وملهم طريق الفن كان جميل وجدارياته كانت فيها ابداع المكان بشكل عام كان رائع للأسف لم ادخل للمتحف لأني اتيت بعد انتهاء وقت المتحف,Neutral
907,يوجد اعمل صيانه لموسم الرياض,Neutral
908,مجموعة مقاهي ومطاعم متنوعه لاكن يوجد ازدحام المنطقه صغيره جدا على عدد المطاعم والمقاهي الموجوده مما يزيد الازدحام والتكدس من الناس نرجو زياده المساحة والاهم اضافة مواقف اضافية للسيارات,Neutral
909,جميل بروعته,Positive
910,مكان جميل يستحق الزيارة  المرشد متمكن من معلوماته  جولة ممتعة و خاصة للاطفال,Positive
911,منظم والدخول مجاني  يحتاج فقط الاهتمام بالأطعمة أو اشتراط أن تكون المطاعم تحاكي موروث المنطقة,Negative
912,يعيب المكان صوت الموسيقى القريبة,Positive
913,مناسبه للترفيه واكتشاف الآثار القديمة,Positive
914,سد وممشى جميل للامانه من احسن الاماكن الي زرتها في ابها وانصح فيها سهل الوصول لها ومجانيه وممتعه بالمنظر والمشي,Positive
915,عدم توفر مواقف مجانية مشكلة,Positive
916,لا اعرف ذلك,Positive
917,مكان جميل يذكرك بالماضي الجميل,Neutral
918,مكان جميل ممتاز روعه مكان تاريخي والاكل من كل مدن المملكه انصح به وبشده,Positive
919,رائعه وفي قمة الروعه والجمال,Positive
920,المكن حييل حلو,Positive
921,يوجد بعض المنكرات نسأل الله السلامة والعافية,Positive
922,المجد للعلا,Positive
923,ثراثي ناقص به محلات لبيع الهدايا التذكارية بأسعار معقولة وأشكال متنوعة,Positive
924,ماديين,Positive
925,مفتوحه بكل وقت ولا موسم بس,Positive
926,مسجد المتحف,Positive
927,مكان رائع جدا والخدمات ممتازة استمتعنا كثيرا بكل التفاصيل,Neutral
928,صراحة اول مرة ازورها لكن عندما رأيتها بالصور انبهرت لكن عند الذهاب إليها ورأيتها على الواقع اختلفت نظرتي بها فهي حديقة ليست على مستوى تطلعات أهالي الهيئة الملكية فلا يوجد بها ما يشجع لزيارتها مرة أخرى تحتاج بعناية اكثر واعادة تأهيلها,Negative
929,مكان جميل ومتكامل من خدمات,Neutral
930,مكان جميل ومرتب تم افتتاح جزء منه,Positive
931,المكان يستحق الزيارة👏🏼❤️,Positive
932,هذه مزوله شمسية قديمة كانو يستخدمونها لتحديد وقت شدة البرد و شدة الحر وتعرف بحساب الوقت بدقة لدى اهل العلا,Positive
933,الشوك,Positive
934,القلعة رائعة مليئة بالمعلومات والحكايا والأحاديث المتعلقة بمدينة تبوك العامل متعاون جداً,Positive
935,متحف جميل وفيه معلومات مفيدة,Neutral
936,بعيد عن مدينة أبها وفي موسم الصيف لا أنصح بزيارته بسبب الزحام الشديد,Positive
937,ممتاز لكن اسعاره مبالغ فيها مره اسعار فلكية لو يجمعونها مع بعض وتكون بمبلغ  ريال اشوفها مناسب,Positive
938,زودنا بلايك 👍حدث سنوي في محافظة العلا يحتفل به الأهالي ويتبادلون التهاني بعودتهم للحقول وعودة موسم الزراعة ودخول الشتاء وسمي طنطورة نسبة للساعة الشمسية التي تقع في الجزء الجنوبي الشرقي للقرية حيث كان يعتمد عليها أهالي المنطقة في معرفة وقت دخول موسم الزراعة وتغير فصول السنة يضم المهرجان أنشطة ترفيهية وثقافية ورياضية ويوفر زيارات ميدانية للمواقع الأثرية في المنطقة حيث شملت الفعاليات  موقعًا أثريًا وثقافيًا إضافة لعروض مسرحية موسيقية ضمها مسرح مرايا بالمدينة,Positive
939,قصر ابراهيم يقع في قلب الاحساء الهفوف حيث يمتاز بقرية من سوق القيصرية التراثي,Neutral
940,مكان رائع مع العائلة في الأسفل الجو حر يفضل ان تجيب معك لوازم السباحة للسباحة والاستمتاع ثم العودة عربة خاصة ٣٥٠ للعائلة,Negative
941,يقع في الهداء وينزل فيك الى منتزه وملاهي مائيه جميله جدا السعر فيه مبالغه,Neutral
942,ما احلي ليالي العلي والحديقه الشتويه,Positive
943,تجربه حلوه و ممتعه و نطمح للمزيد بإذن الله,Neutral
944,جميل جداً و المحلات راقيه  ومتنوعه  توجد مطاعم و كوفيهات و صيدليه و محل البصريات و مواقف للسيارات و في مواقف بفلوس  دورات مياه  نادي صحي للرجال,Negative
945,ممله,Positive
946,الاثارة ليست بالمستوى المطلوب,Positive
947,مسجد عتيق تم ترميمه على مستوى ممتاز جدا,Positive
948,ممتاز التلفريك يعيبة اسعارة مرتفعة والقرية بالأسفل تحتاج تطوير,Negative
949,ممتاز وجميل ينقصه اماكن وضوء عند المسجد ويحتاج الى زيادة مرافق صحية وزيادة عمال النظافة,Positive
950,الوحيده,Positive
951,برادات يالله من فضلك,Positive
952,من المواقع الجميله في الرياض يجمع المطاعم والكافيهات مثل ستاربكس ومادلين هم الافضل,Positive
953,للأسف أقل أقل أقل بكثير من التوقعات انا من النماص كنت متشوقه اشوف القريةالتراثية لكن للأسف كانت صدمة خاصة المطعم الشعبي خدمة سيئةجداً واسعار مبالغ فيها والطعم للأكل اعطيه ٦من١٠يعني عادي وماأفكر ارجع ازور هالمكان مرة ثانية,Negative
954,متحف الفن الإسلامي متحف جميل جدا,Neutral
955,جزيرة مليئة بالمسطحات الخضراء ومسارات المشي  جميلة ومرتبة,Neutral
956,الشخص اللي كان مداوم حارس للقلعة يوم ٩ يونيو ٢٠٢١ بعد العصر يحتاج له دورات تدريبية في السياحة,Positive
957,التلفريك مقبول واسعاره غالية ٨٤ ريال للشخص نازل وصاعد الألعاب المائية مناسبة للشباب مدة التلفريك ٢٠ دقيقة نازل و٢٠ دقيقة صاعد,Positive
958,مدينة جواثا محترمه جدا وأسعار سياحيه مناسبه اتمنى لهم المزيد من التقدم والازدهار,Negative
959,مكان صغير زحمه يجيب الضيقه,Positive
960,جدا جدا جدا استمتعت بالتجربه المكان جميل و الاستقبال اكثر من رائع  تحياتي وانصح الجميع بالزيارة,Positive
961,زباله ومرض لا أنصح به,Positive
962,منتزة ممتاز جدا مسطحات خضراء شلالات صناعية خدمات مسجد ودورات مياه اجلكم الله,Neutral
963,بشكل عام جيده ولكن مبالغه في تذاكر الدخول على الشخص الواحد ١٠ ريال ولايتماشى مع ماتقدمه الحديقه من خدمات فلاتجد مقهى او مطعم او محلات بوظه أو أي شيئ للرفاهيه كل مايتوفر فيها هو محل مصغر يوجد به  مشروبات غازيه ومطعم مصغر يقدم ناجت أمريكانا فقط وتشعر بالمملل لعدم توفر سبل الترفيه فيها,Negative
964,قلعة بناها الاتراك في العهد العثماني تجسد تاريخ المنطقة حيث ان من بناها هم سكان البلد الاصليين بتعليمات من الاتراك مكان جميل آمل ان تلتفت له وزارة السياحة والتراث لترميمه,Neutral
965,جهد جبار يشكر عليه كل من ساهم في نجاحه,Positive
966,يحتاج إلى تطوير و توسعة و تكييف و حسن عرض,Neutral
967,جميل ومنظم وواسع يبدأ منذ بداية نشأة الكون ومخلوقات العصر القديم انطلاقاً ب الحضارات واحدة تلو الأخرى وصولا للعصر الحالي ممتع وجميل ومفصل,Negative
968,سلاما على من جثى فيه صلوات على محمد وآل محمد,Positive
969,مناضر خلابه,Positive
970,زحمه قويه باليوم الوطني,Positive
971,مهرجان جميل يضم دول متعدده ويحكي تراث قديم عاشو فيه اهلنا واجدادنا صح تطور عن قبل وكل سنه يصبح اعظم من اللي قبلها لكن اتمنى عن جد يحكون فيه عن تأسيس المملكه العربيه السعودية بحيث انها ترسخ في روسنا وروس ابنائنا مانبي عرضات ولاشي نبي تمثيل,Negative
972,متحف ممتاز ولكن لا يوجد مرشدين  ولا يمكن للكفيف ان يلمس المعروضات لانها وراء الزجاج,Positive
973,زرتها قديما ممتازه وفيها يتم تشغيل القطار لمسافات قصيره,Positive
974,مسجد اقيمت فيه ثاني جمعه في الاسلام ويوجد حوله منتزه وسوق شعبي للمأكولات الشعبيه,Positive
975,جميل ومنظم ويستحق التجربه,Positive
976,جميل المكان حلو التراث القديم يذكرنا بالماضي الجميل,Neutral
977,عفنة,Positive
978,مناطق جميلة 👍🏻 في بعض المناسبات الكبيرة يكون التنظيم فيها 👎🏻,Positive
979,رايع,Positive
980,جميلة جدا ومنظمه وفيها العاب  ترفيهيه للاطفال,Negative
981,مافيه طريق للسياره لا تطلع فوق,Positive
982,هو مكان تقدر ترجع فيه لأيام زمان واللي احد منكم امه او ابوه او امه وابوه من العلا يعرف شلون كانت بسيطة في بيوتها لكن كبيرة بأهلها وناسها,Positive
983,منطقه تراثيه لكن مغلقه للاسف,Positive
984,بعض المعلومات عن إثراء  مركز الملك عبد العزيز الثقافي العالمي,Positive
985,للاسف ما يعتبر لا منتزه و لا فيه اي اهتمام  نأمل من الجهات المختصة اعادة الحياة و انشاء جلسات خاصة و كشكات لبيع الماء و الاسر المنتجة  و تنظيمه بما يليق فمكانه مناسب بعيد عن الشوارع و الطرق المزدحمه و يخدمه الجبل فهو مصد عن الرياح و الهبايب الغربية  فيا ليت يا ليت ترجع له الحياة مع التنظيم و المتابعة,Neutral
986,قلعه مبنيه من اواخر القرن الثالث عشر,Positive
987,روعه ماشاء الله تبارك الله مكان هاديء ونظيف ومرتب وامام القريه البحر منظر اكثر من رائع يوجد فيه محلات للتسوق يبعون اشياء خاصه بتراث جيزان الموقع جميل ويوجد في المكان مواقف سيارات تتسع لعددكبير الدخول الى القريه التراثيه مجاناً لجميع الأعمار,Neutral
988,دنيا,Positive
989,عبق الماضي واساس جدة,Positive
990,موقع جميل يحتاج لإضافة الخدمات والالعاب الحديثه ليتسنى لزائري القرية التراثية الاستمتاع بوقتهم,Positive
991,القرية التراثية جميلة جدا ومنظمة والأسعار معقولة ومتنوعة البضائع وفيها متاحف تحكي ماضي منطقة جيزان,Negative
992,ينصح بزيارته يوجد به العديد والعديد من القطع الاثرية العجيبه,Positive
993,بحيرة جميلة جدا ورائعة ومناظر خلابة,Positive
994,اجمل مكان واروع مغامرة تبتدى بيها رحلة الطائف بس يعيبه سوء التنظيم انتظرنا اكثر من ساعتين فى الخارج فى الشمس فى طابور طويل لحجز التذاكر,Neutral
995,افضل مكان سياحي وتاريخي,Positive
996,الشىء الوحيد السىء هو التكيف  فقط مكيف واحد كان يعمل في غرفة واحدة بالمنزل,Positive
997,المكان رائع ثري بالمعلومات والي بيسوي رجيم يروح اثنين بواحد ثقافه وتخسيس البسو سبورت لنو المكان كبير ماشاءالله,Negative
998,جميل وممتع ورخيص لولا قلة اماكن الجلوس وكثرة الناس اللي تاكل بالارض,Positive
999,تحفة,Positive
1000,الحديقة فيها تحسن ملحوظ ومجهود يشكرون عليه تحديداً من ناحية النظافة  ملاحظات شاهدتها خلال زيارتي,Positive
1001,مكان جميل جداً للكبار والأطفال وجميع الأعمار,Positive
1002,مكان جميل جدا ويستحق الزياره,Positive
1003,توفر كل شئطعام ترفيهتثقيفتنظيمشامل افراد المجتمعمسجددورات مياهاتمنى توفر اماكن استراحة خاصةيتوفر صرافات,Positive
1004,يوجد محل في الحديقه باسم التراث والفن يبيع ويعرف بالمنتجات المحلية بالعلا والتراثية,Neutral
1005,ممتاز جداً انصح بزيارته,Positive
1006,متحف جميل وهادف نتمنى الرحلات المدرسيه تكون له بدل المولات يعرفوا اطفالنا بتاريخنا العظيم,Positive
1007,من المعالم الجيده التي تصلح لزيارة الوفود السياحية,Positive
1008,لايستحق زيارة وخسارة المشوار لي رحت له الشخص ب٥٠ ريال على ايش ومبالغ في السعر لم ادخل ولايوجد شي,Positive
1009,ولا غلطة يوم تكون ما فيها زحمة,Positive
1010,يحتاج المزيد من الاهتمام,Positive
1011,اثار جميلة جدا,Positive
1012,مرعب,Positive
1013,اسعار خيال,Positive
1014,مكان جميل بها حيوانات كثيرة وأغلب الأحيان مزدحمة بالزوار في يوم الجمعة,Negative
1015,مكان رائع يعطيك طابع المولات الضخمة بأجواء مفتوحة تعطي رونق جميل للمكان,Neutral
1016,افشل منتزه بحائل,Positive
1017,المسجد والموقع مغلق و تحت التطوير,Positive
1018,متحف ممتاز جدا اتقان في المعروض وجوده في الارشاد مع المرشد أنس انصح بزيارته لترى السيره النبويه كأن لم ترأها من قبل,Positive
1019,مكان رائع ومميز بصراحة المكان متميز بجميع اقسامه,Positive
1020,من أفضل وأجمل وألطف الأماكن في الهيئة الملكية بينبع ❤️❤️,Positive
1021,يحتاج للترميم و إحيائه من جديد,Positive
1022,جدا كويس تطلع فوق تدفع ثمن تذكرة السباحه النزول بالتلفريك مجانا,Negative
1023,المكان جميل لكن سعر الدخول  ريال مبالغ فيه  نتمنى من القائمين عليه تخفيض السعر,Positive
1024,متنفس جميل,Positive
1025,رائع وحاضن للأنشطه الثقافيه بمختلف مجالاته وأنصح بزيارته,Positive
1026,المهرجان ممتاز وانا اول مره ازوره وان شاء الله سوف تزوره السنة القادمه إذا حدث  اعجبني القائمين والعاملين وحسن إختيارهم لحسن تعاملهم مع الزوار الهائل  وتشيد بجميع الخدمات والتنظيم واعتقد انه مناسب لجميع الفئات مواطنين  واجانب,Negative
1027,جميل ينصح بزيارته,Positive
1028,يبيله اهتمام اكثر,Neutral
1029,مكان تاني جميل 😍😍,Positive
1030,تحتاج تطوير اكثر وزيادة في المقاهي والإهتمام للأطفال لكن المكان يستحق الزيارة,Positive
1031,سوق يجمع فيه كل شي,Positive
1032,يلزم على الشخص المرافق مبلغ مادي  المكان يحتاج أهتمام بالنظافة الطاولات أغلبها مكسورة تحتاج الى إضاءة أكثر وزيادة عدد المشرفين,Positive
1033,المكان جميل جداً لكن مشكلة المواقف الغير متوفرة,Positive
1034,من أجمل الحدائق للتنزه بالعائلة تصميم رائع والأجمل لا يوجد كشكات خدمات 😊 سعدنا بزيارة هذه الحديقة واتمنى المحافظة على الجودة والمحافظة على المكان من قبل الزوار 😇,Negative
1035,روعة من جميع النواحي وجدا مهندس زكي الا صممو ابداع في الشرخ والاستقبال,Positive
1036,جزيرة المرجان رائعة ولكن اجرة السفينة للعائلة غالية لو بخفضون السعر شوي,Neutral
1037,مسجد يعود تاريخه لزمن الرسول عليه السلام لكن غير مهتم فيه,Neutral
1038,انصح بزيارته  انصحكم تكونون جاهزين للتصوير مناظر جميلة ويبيلها صورة للذكرى,Neutral
1039,ظاهرة ثراثية رائعة زيارتها من امنع الزيارات وهي من الظواهر الطبيعية أهل الحسا أهل كرم وأدب ومستحيل ما تلاقي الكرم والتعاون منهم يحب عليكم زيارة جبل القارة إذا كنت بالاحساء شكرا أهل الأحساء شكر ا لكم على كرم الضيافة,Positive
1040,جيد جدا واتمنى انهم يطورونه اكثر  وهاصه موافق السيارات,Neutral
1041,سيئ حشرات ونبات الشوك منشر بشكل غير مقبول وسخه ومهمله تجيب الكآبه,Positive
1042,جميل الاحواء,Positive
1043,احلى أماكن تشوفها جده القديمه,Positive
1044,مكان تراثي جميل وبه قطع أثرية قديمه,Positive
1045,متحف مميز يتطلب اضافه المزيد,Positive
1046,مكان عائلي جدا و مخصص للأطفال فيه حيوانات كثيره نظيف و مرتب سعر التذاكر ١٠ ريال للكبار و الأطفال تحت ٣ سنوات مجانا,Negative
1047,متحف  توجد في تقريبا كل الاشياء القديمه الحقيقةمكان جدآ  رائع وجميل يقع في حى ام السباع بالطائف,Neutral
1048,منطقة جميلة وباردة,Positive
1049,إبداع في تشكيل حيوانات من الاشجار في مدينة الملك عبدالله الاقتصادية,Positive
1050,المكان رائع بالقرب من اطلال المدينة القديمة نظيف راقي منظم,Positive
1051,منطقة ينصح المسافر للطائف التوقف بها لمعقولية الاسعار الشقق عن التي بداخل الطائف,Positive
1052,حظي المهرجان بتطور ملحوظ متنامي على مر السنين  ومن المزايا تنوع الجهات الحكومية المشاركة وتميز اجنحتها ودماثة ممثلي الجهات الحكومية وحسن,Positive
1053,مكان رائع للتنزه,Positive
1054,مباني جميلة وتنظيم غيد جيد,Positive
1055,اسوأ تعامل من الموظفين واخلاقهم متدنيه وثانيا باعوني تذاكر ولما جيت ادخل قالوا قفلنا انتهى الدوام  رغم اني جاي من مكان بعيد,Positive
1056,تحتاج المزيد,Positive
1057,صغير مرة لكنه شامل ومعبر,Positive
1058,من افضل الامامن في ينبع استجمام وهدوء وزقزقه العصافير ينصح يزيارتها,Positive
1059,جيدولكن غالي,Positive
1060,قلعة تاريخة فريدة,Positive
1061,جهود جبارة مشكورة لكل من ساهم بإقامة هذا المتحف  ملاحظة يجب الاخذ بها ع شروط الدخول ان لا يقل العدد عن ١٠ أشخاص سابقا والان ٥ أشخاص,Negative
1062,متحف قديم ويبيع الاشياء الاثرية ويوجد به مزاد يوم الاحد والثلاثاء,Positive
1063,جيد جدا متحف وسط جدة للشيخ عبدالرؤف خليل رحمه الله يمثل تاريخ ونمط البيوت الحجازية,Negative
1064,يعني جيدة جدا هادئة,Positive
1065,العلا متحف طبيعي أشتمل على العديد من الحضارات العربية المتعاقبة منذ زمن الثموديين وحتى العصر الحديث والعلا إحدى مدن المملكة العربية السعودية تقع غربالجزيرة العربية وتتبع إدارياً لمنطقة  المدينة المنورة وتبعد عنها تقريباً  كيلو متر شمالاً ذكرها ياقوت الحموي في معجمه وهو جمع العليا وهو اسم لموضع من ناحية وادي القرى بينها وبين الشام نزل بها النبي محمد صل الله عليه وسلم في طريقه إلى غزوة تبوك وحدد بها مكاناً لمسجد وضع حدوده بالعظام فبناه أهلها بعد ذلك وأسموه مسجد العظام وكانت قديما تُسمى الحجر موطن الثموديين ثم ديدان ويروى أن سبب تسميتها بالعلا أنه كان بها عينان مشهورتان بالماء العذب هما المعلق وتدعل وكان على منبع المعلق نخلات شاهقات العلو يطلق عليها العلي وتقع مدينة العلا بين جبلين كبيرين على واد خصب التربة تزرع فيه النخيل والحمضيات والفواكه كما تتوفر المياه الجوفية علي مسافات قريبة رغم الشح الكبير في الأمطار وهي من ضمن المواقع الأثرية المسجلة بمنظمة اليونسكو و مناخها قاري حار صيفاً وبارد شتاءًا يتبعها قرابة  قرية,Positive
1066,جميله مره بس لو انها مغلقه ومكيفه كان ياسلام اكثر شيء يضايق فيها انها مفتوحه وجو الحساء حر,Negative
1067,مكان يجعلك تعايش تراث منطقة جازان بتضاريسة الجبلية والساحلية والبحرية,Positive
1068,أكثر من رائع,Positive
1069,جميلة نظيفة,Positive
1070,مكان جميل رايق,Positive
1071,مايعيب,Positive
1072,يبيلها اهتمام كثير بالنسبه للحديقه موقعها مره ممتاز,Positive
1073,جميلة جدا تراث جيزان جميل وممتع فية ملاهي  جبتها  حلوة,Positive
1074,متحف صغير وتاريخي يحتاج إلى تنظيم أفضل وإرشادات للزائر,Positive
